date,season,team,opp,event,crown_holder,crown_team,prev_holder,prev_team,gmsc,streak,total_games
1947-04-02,1947,CHS,WSC,initial,Tony Jaros,CHS,,,32.60,1,1
1947-04-03,1947,CHS,WSC,transfer_teammate,Max Zaslofsky,CHS,Tony Jaros,CHS,15.80,1,1
1947-04-08,1947,CHS,WSC,transfer_teammate,Don Carlson,CHS,Max Zaslofsky,CHS,25.60,1,1
1947-04-10,1947,WSC,CHS,transfer_loss,John Mahnken,WSC,Don Carlson,CHS,18.80,1,1
1947-04-12,1947,WSC,CHS,transfer_teammate,Bob Feerick,WSC,John Mahnken,WSC,18.80,1,1
1947-04-13,1947,CHS,WSC,transfer_loss,Chick Halbert,CHS,Bob Feerick,WSC,25.40,1,1
1947-04-16,1947,PHW,CHS,transfer_loss,Joe Fulks,PHW,Chick Halbert,CHS,18.10,1,1
1947-04-17,1947,PHW,CHS,transfer_teammate,Art Hillhouse,PHW,Joe Fulks,PHW,8.70,1,1
1947-04-19,1947,PHW,CHS,transfer_teammate,Joe Fulks,PHW,Art Hillhouse,PHW,27.60,1,1
1947-04-20,1947,CHS,PHW,transfer_loss,Don Carlson,CHS,Joe Fulks,PHW,10.10,1,1
1947-04-22,1947,PHW,CHS,transfer_loss,Joe Fulks,PHW,Don Carlson,CHS,11.00,1,1
1948-03-23,1948,STB,PHW,transfer_loss,Belus Smawley,STB,Joe Fulks,PHW,7.90,1,1
1948-03-25,1948,PHW,STB,transfer_loss,Ralph Kaplowitz,PHW,Belus Smawley,STB,7.90,1,1
1948-03-27,1948,PHW,STB,transfer_teammate,Chick Halbert,PHW,Ralph Kaplowitz,PHW,9.80,1,1
1948-03-30,1948,STB,PHW,transfer_loss,Red Rocha,STB,Chick Halbert,PHW,6.80,1,1
1948-04-01,1948,STB,PHW,defend,Red Rocha,STB,Red Rocha,STB,10.60,2,2
1948-04-03,1948,PHW,STB,transfer_loss,George Senesky,PHW,Red Rocha,STB,5.70,1,1
1948-04-06,1948,PHW,STB,transfer_teammate,Chink Crossin,PHW,George Senesky,PHW,5.90,1,1
1948-04-10,1948,PHW,BLB,transfer_teammate,Ralph Kaplowitz,PHW,Chink Crossin,PHW,7.00,1,1
1948-04-13,1948,BLB,PHW,transfer_loss,Connie Simmons,BLB,Ralph Kaplowitz,PHW,13.30,1,1
1948-04-15,1948,BLB,PHW,transfer_teammate,Buddy Jeannette,BLB,Connie Simmons,BLB,6.20,1,1
1948-04-17,1948,BLB,PHW,transfer_teammate,Paul Hoffman,BLB,Buddy Jeannette,BLB,14.60,1,1
1948-04-20,1948,PHW,BLB,transfer_loss,George Senesky,PHW,Paul Hoffman,BLB,6.00,1,1
1948-04-21,1948,BLB,PHW,transfer_loss,Buddy Jeannette,BLB,George Senesky,PHW,9.10,1,1
1949-03-23,1949,BLB,NYK,transfer_teammate,Jake Pelkington,BLB,Buddy Jeannette,BLB,21.80,1,1
1949-03-24,1949,NYK,BLB,transfer_loss,Carl Braun,NYK,Jake Pelkington,BLB,20.00,1,1
1949-03-26,1949,NYK,BLB,transfer_teammate,Harry Gallatin,NYK,Carl Braun,NYK,19.40,1,1
1949-03-29,1949,WSC,NYK,transfer_loss,Johnny Norlander,WSC,Harry Gallatin,NYK,16.80,1,1
1949-03-31,1949,NYK,WSC,transfer_loss,Carl Braun,NYK,Johnny Norlander,WSC,31.60,1,1
1949-04-02,1949,WSC,NYK,transfer_loss,Sonny Hertzberg,WSC,Carl Braun,NYK,26.80,1,1
1949-04-04,1949,MNL,WSC,transfer_loss,George Mikan,MNL,Sonny Hertzberg,WSC,30.50,1,1
1949-04-06,1949,MNL,WSC,transfer_teammate,Don Carlson,MNL,George Mikan,MNL,15.60,1,1
1949-04-08,1949,MNL,WSC,transfer_teammate,George Mikan,MNL,Don Carlson,MNL,22.60,1,1
1949-04-09,1949,WSC,MNL,transfer_loss,Jack Nichols,WSC,George Mikan,MNL,16.20,1,1
1949-04-11,1949,WSC,MNL,defend,Jack Nichols,WSC,Jack Nichols,WSC,12.20,2,2
1949-04-13,1949,MNL,WSC,transfer_loss,George Mikan,MNL,Jack Nichols,WSC,30.20,1,1
1950-03-22,1950,MNL,CHS,defend,George Mikan,MNL,George Mikan,MNL,8.30,2,2
1950-03-25,1950,MNL,CHS,defend,George Mikan,MNL,George Mikan,MNL,37.60,3,3
1950-03-27,1950,MNL,FTW,defend,George Mikan,MNL,George Mikan,MNL,15.60,4,4
1950-03-28,1950,MNL,FTW,defend,George Mikan,MNL,George Mikan,MNL,39.40,5,5
1950-04-05,1950,MNL,AND,defend,George Mikan,MNL,George Mikan,MNL,14.30,6,6
1950-04-06,1950,MNL,AND,transfer_teammate,Vern Mikkelsen,MNL,George Mikan,MNL,15.90,1,1
1950-04-08,1950,MNL,SYR,transfer_teammate,Jim Pollard,MNL,Vern Mikkelsen,MNL,15.20,1,1
1950-04-09,1950,SYR,MNL,transfer_loss,George Ratkovicz,SYR,Jim Pollard,MNL,17.80,1,1
1950-04-14,1950,MNL,SYR,transfer_loss,George Mikan,MNL,George Ratkovicz,SYR,15.90,1,1
1950-04-16,1950,MNL,SYR,defend,George Mikan,MNL,George Mikan,MNL,11.70,2,2
1950-04-20,1950,SYR,MNL,transfer_loss,Dolph Schayes,SYR,George Mikan,MNL,19.80,1,1
1950-04-23,1950,MNL,SYR,transfer_loss,George Mikan,MNL,Dolph Schayes,SYR,29.00,1,1
1951-03-21,1951,MNL,INO,defend,George Mikan,MNL,George Mikan,MNL,26.00,2,2
1951-03-23,1951,INO,MNL,transfer_loss,Alex Groza,INO,George Mikan,MNL,22.90,1,1
1951-03-25,1951,MNL,INO,transfer_loss,George Mikan,MNL,Alex Groza,INO,17.00,1,1
1951-03-29,1951,MNL,ROC,transfer_teammate,Bob Harrison,MNL,George Mikan,MNL,16.60,1,1
1951-03-31,1951,ROC,MNL,transfer_loss,Red Holzman,ROC,Bob Harrison,MNL,17.10,1,1
1951-04-01,1951,ROC,MNL,transfer_teammate,Arnie Johnson,ROC,Red Holzman,ROC,23.00,1,1
1951-04-03,1951,ROC,MNL,transfer_teammate,Arnie Risen,ROC,Arnie Johnson,ROC,20.90,1,1
1951-04-07,1951,ROC,NYK,defend,Arnie Risen,ROC,Arnie Risen,ROC,25.00,2,2
1951-04-08,1951,ROC,NYK,transfer_teammate,Jack Coleman,ROC,Arnie Risen,ROC,27.50,1,1
1951-04-11,1951,ROC,NYK,transfer_teammate,Arnie Risen,ROC,Jack Coleman,ROC,21.60,1,1
