team,franchise,date,season,home_away,opp,opp_franchise,result,team_score,opp_score,ot_periods,fg,fga,fg_pct,two_p,two_pa,two_p_pct,three_p,three_pa,three_p_pct,ft,fta,ft_pct,opp_fg,opp_fga,opp_fg_pct,opp_two_p,opp_two_pa,opp_two_p_pct,opp_three_p,opp_three_pa,opp_three_p_pct,opp_ft,opp_fta,opp_ft_pct,round,series_my_wins,series_opp_wins
BOS,BOS,1990-04-28,1990,H,NYK,NYK,W,157,128,0,63,94,0.67,62,88,0.705,1,6,0.167,30,33,0.909,51,100,0.51,48,89,0.539,3,11,0.273,23,29,0.793,1,1,0
DEN,DEN,1985-04-30,1985,H,UTA,UTA,W,130,113,0,54,105,0.514,54,104,0.519,0,1,0.0,22,28,0.786,43,90,0.478,42,87,0.483,1,3,0.333,26,34,0.765,2,0,0
WSB,WAS,1978-05-05,1978,H,PHI,PHI,W,123,108,0,48,99,0.485,48,99,0.485,,,,27,36,0.75,34,90,0.378,34,90,0.378,,,,40,55,0.727,3,1,1
PHO,PHO,1983-04-19,1983,H,DEN,DEN,W,121,108,0,52,102,0.51,52,102,0.51,0,0,,17,20,0.85,43,89,0.483,42,84,0.5,1,5,0.2,21,24,0.875,1,0,0
MEM,MEM,2021-05-31,2021,H,UTA,UTA,L,113,120,0,43,92,0.467,33,57,0.579,10,35,0.286,17,20,0.85,39,85,0.459,22,51,0.431,17,34,0.5,25,28,0.893,1,1,2
CLE,CLE,2017-05-23,2017,H,BOS,BOS,W,112,99,0,44,74,0.595,34,52,0.654,10,22,0.455,14,17,0.824,35,79,0.443,25,48,0.521,10,31,0.323,19,20,0.95,3,2,1
DEN,DEN,2009-04-29,2009,H,NOH,NOP,W,107,86,0,37,72,0.514,27,49,0.551,10,23,0.435,23,27,0.852,29,76,0.382,26,56,0.464,3,20,0.15,25,30,0.833,1,3,1
DET,DET,1988-05-25,1988,A,BOS,BOS,W,104,96,0,43,77,0.558,41,73,0.562,2,4,0.5,16,28,0.571,38,91,0.418,35,82,0.427,3,9,0.333,17,25,0.68,3,0,0
SAS,SAS,2006-05-13,2006,A,DAL,DAL,L,103,104,0,39,82,0.476,36,72,0.5,3,10,0.3,22,32,0.688,32,66,0.485,31,61,0.508,1,5,0.2,39,50,0.78,2,1,1
ATL,ATL,1988-05-11,1988,A,BOS,BOS,L,101,110,0,40,84,0.476,39,80,0.488,1,4,0.25,20,27,0.741,44,77,0.571,41,70,0.586,3,7,0.429,19,22,0.864,2,0,0
